id,pvalue,qvalue,ppde,lsmM75,lsmD75,FC,direction,P1,P2,Descriptions
Ssc.7391.1.A1_at,7.08E-06,0.036525447,0.959672324,4.32827273,1.95447207,10.7381268,DOWN,0,0,gb:CF365209  DB_XREF=gi:34167566  DB_XREF=835820  TID=Ssc.18884.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.18884  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.12760.1.A1_at,0.0000127,0.037609008,0.949833485,3.56100381,0.74930299,16.63819274,DOWN,3,3,"gb:CB469603  DB_XREF=gi:29275988  DB_XREF=sn09_F09.f  TID=Ssc.6719.1  CNT=40  FEA=EST  TIER=Stack  STK=21  UG=Ssc.6719  UG_TITLE=Transcribed locus, highly similar to NP_002147.2 heat shock 60kDa protein 1 (chaperonin) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.12401.1.A1_at,0.0000128,0.037609008,0.949687061,3.81767371,1.61857238,9.016906634,DOWN,0,0,"gb:AB030030.1  DB_XREF=gi:6009882  TID=Ssc.16034.1  CNT=1  FEA=mRNA  TIER=ConsEnd  STK=0  LL=397334  UG_GENE=ERG  UG=Ssc.16034  UG_TITLE=ERG protein  DEF=Sus scrofa erg mRNA, partial cds.  REP_ORG=S. scrofa"
Ssc.26648.1.A1_at,0.0000143,0.037609008,0.947574555,7.27118101,6.3678202,2.467883276,DOWN,3,3,"gb:CO944224  DB_XREF=gi:51310983  DB_XREF=UMC-p4mm3-001-a10  TID=Ssc.7732.2  CNT=4  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.7732  UG_TITLE=Transcribed locus, highly similar to NP_009166.2 exportin, tRNA (nuclear export receptor for tRNAs) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.5405.1.A1_at,0.0000264,0.045316932,0.934295343,5.10846291,2.47647846,13.90132904,DOWN,0,0,"gb:BQ597584  DB_XREF=gi:21544310  DB_XREF=MI-P-A2-afc-d-05-1-UM.s1  CLONE=MI-P-A2-afc-d-05-1-UM  TID=Ssc.13626.3  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.13626  UG_TITLE=Transcribed locus, moderately similar to NP_037428.2 G-protein signalling modulator 2 (AGS3-like, C. elegans) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.10932.1.S1_at,0.0000399,0.045556183,0.92365018,5.90190101,5.01974246,2.416109375,DOWN,3,3,"gb:NM_214166.1  DB_XREF=gi:47523419  GEN=SUS2DD  TID=Ssc.16041.1  CNT=30  FEA=FLmRNA  TIER=FL+Stack  STK=10  LL=397337  UG=Ssc.16041  DEF=Sus scrofa dimeric dihydrodiol dehydrogenase (SUS2DD), mRNA.  PROD=dimeric dihydrodiol dehydrogenase  FL=gb:AB021929.1 gb:NM_214166.1  REP_ORG=S. scrofa"
Ssc.14573.1.S1_at,0.0000439,0.045556183,0.920971498,5.44423061,4.68179643,2.14348751,DOWN,3,3,gb:BX914324  DB_XREF=gi:41131103  DB_XREF=BX914324  CLONE=scan0001f.g.01  TID=Ssc.15332.1  CNT=13  FEA=EST  TIER=Stack  STK=6  UG=Ssc.15332  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.4571.3.S1_at,0.0000456,0.045556183,0.919882536,6.24493962,5.63962151,1.831834841,DOWN,3,3,gb:CO945145  DB_XREF=gi:51311904  DB_XREF=UMC-p4mm3-014-f07  TID=Ssc.29729.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.29729  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.3428.1.S1_at,0.0000471,0.045556183,0.918944089,6.05360852,5.57157486,1.619364292,DOWN,2,2,gb:CK463855  DB_XREF=gi:40835136  DB_XREF=934789  TID=Ssc.25116.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.25116  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.9745.1.A1_at,0.0000583,0.046363152,0.91250381,4.59792209,2.56347876,7.647993532,DOWN,0,2,gb:BX921786  DB_XREF=gi:41138634  DB_XREF=BX921786  CLONE=scan0019d.j.15  TID=Ssc.25757.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.25757  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.1854.1.A1_at,0.0000593,0.046363152,0.911970907,8.83976807,8.5140624,1.38500766,DOWN,3,3,"gb:CN156382  DB_XREF=gi:46170812  DB_XREF=943779  TID=Ssc.4216.1  CNT=8  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.4216  UG_TITLE=Transcribed locus, moderately similar to NP_064601.3 arginyl aminopeptidase (aminopeptidase B) (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.15467.1.A1_at,0.0000595,0.046363152,0.911865058,7.10827722,6.59474681,1.671180746,DOWN,3,3,gb:BF702546  DB_XREF=gi:11987954  DB_XREF=MI-P-E3-aak-f-02-1-UM.s1  CLONE=MI-P-E3-aak-f-02-1-UM  TID=Ssc.8625.1  CNT=7  FEA=EST  TIER=Stack  STK=6  UG=Ssc.8625  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.25212.1.A1_at,0.0000617,0.046363152,0.910716315,6.75136145,6.19566764,1.74314998,DOWN,3,3,gb:BQ598394  DB_XREF=gi:21545120  DB_XREF=MI-P-E3-agu-a-05-1-UM.s1  CLONE=MI-P-E3-agu-a-05-1-UM  TID=Ssc.19930.1  CNT=6  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.19930  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.19248.1.S1_at,0.0000698,0.048120526,0.906712012,6.04352029,5.5811474,1.587837281,DOWN,3,3,gb:CN159541  DB_XREF=gi:46173971  DB_XREF=948626  TID=Ssc.31158.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=2  UG=Ssc.31158  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.24039.1.S1_at,0.0000709,0.048120526,0.906193035,6.79654635,6.2776081,1.680242705,DOWN,0,0,"gb:BE234975  DB_XREF=gi:9019765  DB_XREF=142370  TID=Ssc.4046.1  CNT=14  FEA=EST  TIER=ConsEnd  STK=0  UG=Ssc.4046  UG_TITLE=Transcribed locus, highly similar to NP_004332.2 carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase (Homo sapiens)  REP_ORG=S. scrofa"
Ssc.3476.1.A1_at,0.0000843,0.049268677,0.900272131,7.07907294,6.55183057,1.694253736,DOWN,0,0,gb:CN166560  DB_XREF=gi:46180990  DB_XREF=998233  TID=Ssc.27089.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.27089  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.17951.1.A1_at,0.000103219,0.055685339,0.892926553,4.09536158,1.88669229,9.103594086,DOWN,3,3,gb:BX922597  DB_XREF=gi:41139445  DB_XREF=BX922597  CLONE=scan0018d.n.09  TID=Ssc.1527.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=3  UG=Ssc.1527  UG_TITLE=Transcribed locus  REP_ORG=S. scrofa
Ssc.3522.2.S1_at,0.000118307,0.060711702,0.88771134,6.64169936,6.04660008,1.813210952,DOWN,0,0,"gb:CN153487  DB_XREF=gi:46167917  DB_XREF=940609  TID=Ssc.26628.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=1  UG=Ssc.26628  UG_TITLE=Transcribed locus, weakly similar to NP_004186.1 tumor necrosis factor receptor superfamily, member 18 (Homo sapiens)  REP_ORG=S. scrofa"
